workflow,run_id,run_url,conclusion,created_at,sha,job_name,failed_steps,error_snippet
Aggregate Workflow Failures,18080219984,https://github.com/AbdullahHassan176/Global-ish/actions/runs/18080219984,failure,2025-09-28T21:42:21Z,db41aa2c4cc8efe6b126f5f36fc7d5f338517068,aggregate-failures,Commit to Reports Branch;,
Aggregate Workflow Failures,18080214163,https://github.com/AbdullahHassan176/Global-ish/actions/runs/18080214163,failure,2025-09-28T21:41:40Z,db41aa2c4cc8efe6b126f5f36fc7d5f338517068,aggregate-failures,Commit to Reports Branch;,
Aggregate Workflow Failures,18080186300,https://github.com/AbdullahHassan176/Global-ish/actions/runs/18080186300,failure,2025-09-28T21:38:34Z,969fe509efbfae1413fdc7ec7bb07bcceffe319e,aggregate-failures,Commit to Reports Branch;,
Aggregate Workflow Failures,18080168436,https://github.com/AbdullahHassan176/Global-ish/actions/runs/18080168436,failure,2025-09-28T21:36:50Z,06ab91b11de278d0dc30fb25700dab3ddf1968fb,aggregate-failures,Run Error Summarizer;,
Aggregate Workflow Failures,18080159595,https://github.com/AbdullahHassan176/Global-ish/actions/runs/18080159595,failure,2025-09-28T21:36:01Z,06ab91b11de278d0dc30fb25700dab3ddf1968fb,aggregate-failures,Run Error Summarizer;,
Aggregate Workflow Failures,18080121127,https://github.com/AbdullahHassan176/Global-ish/actions/runs/18080121127,failure,2025-09-28T21:32:33Z,5c4720a4404dcd30b18b859f43ab2b9139288e20,aggregate-failures,Run Error Summarizer;,
Aggregate Workflow Failures,18080114463,https://github.com/AbdullahHassan176/Global-ish/actions/runs/18080114463,failure,2025-09-28T21:31:56Z,5c4720a4404dcd30b18b859f43ab2b9139288e20,aggregate-failures,Run Error Summarizer;,
Aggregate Workflow Failures,18080111675,https://github.com/AbdullahHassan176/Global-ish/actions/runs/18080111675,failure,2025-09-28T21:31:40Z,5c4720a4404dcd30b18b859f43ab2b9139288e20,aggregate-failures,Run Error Summarizer;,
Azure Static Web Apps CI/CD,18092520429,https://github.com/AbdullahHassan176/Global-ish/actions/runs/18092520429,failure,2025-09-29T09:35:52Z,aa2e5de857a47bc06b019f2455f1fa3c2e616dc7,Build and Deploy Job,Build applications;,
Azure Static Web Apps CI/CD,18080306625,https://github.com/AbdullahHassan176/Global-ish/actions/runs/18080306625,failure,2025-09-28T21:51:59Z,07a2246bf545a95759d52326c2888abaef474a45,Build and Deploy Job,Build applications;,
Azure Static Web Apps CI/CD,18080274634,https://github.com/AbdullahHassan176/Global-ish/actions/runs/18080274634,failure,2025-09-28T21:48:29Z,2d9ae774be1091fd41f3b790a77d5f51001bd30c,Build and Deploy Job,Build applications;,
Azure Static Web Apps CI/CD,18080263657,https://github.com/AbdullahHassan176/Global-ish/actions/runs/18080263657,failure,2025-09-28T21:47:24Z,e44d5f2f54c5e96605a749533cd14acc01a3d452,Build and Deploy Job,Build applications;,
Azure Static Web Apps CI/CD,18080212967,https://github.com/AbdullahHassan176/Global-ish/actions/runs/18080212967,failure,2025-09-28T21:41:31Z,db41aa2c4cc8efe6b126f5f36fc7d5f338517068,Build and Deploy Job,Build applications;,
Azure Static Web Apps CI/CD,18080176354,https://github.com/AbdullahHassan176/Global-ish/actions/runs/18080176354,failure,2025-09-28T21:37:33Z,969fe509efbfae1413fdc7ec7bb07bcceffe319e,Build and Deploy Job,Build applications;,
